Key,English
buffLeftLegCastDesc,"Your left leg is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-5% Mobility\n-3% Jump Strength\n{cvar(.LeftLegHealthBlockage:0)} Health Blockage"
buffSprainedRightLegDesc,"You have sprained your right leg. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-7% Mobility\n-2% Jump Strength"
buffBrokenRightLegDesc,"You have broken your right leg. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per Min\n-15% Mobility\n-5% Jump Strength\n{cvar(.BrokenRightLegHealthBlockage:0)} Health Blockage"
buffRightLegSplintedDesc,"Your right leg is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-7% Mobility\n-3% Jump Strength\n{cvar(.RightLegHealthBlockage:0)} Health Blockage"
buffRightLegCastDesc,"Your right leg is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-5% Mobility\n-3% Jump Strength\n{cvar(.RightLegHealthBlockage:0)} Health Blockage"
buffSprainedRibsDesc,"You have sprained your ribs. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-7% Mobility\n-2% Jump Strength"
buffBrokenRibsDesc,"You have broken your ribs. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per Min\n-15% Mobility\n-5% Jump Strength\n{cvar(.BrokenRibsHealthBlockage:0)} Health Blockage"
buffRibsSplintedDesc,"Your ribs is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-7% Mobility\n-3% Jump Strength\n{cvar(.RibsHealthBlockage:0)} Health Blockage"
buffRibsCastDesc,"Your ribs is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-5% Mobility\n-3% Jump Strength\n{cvar(.RibsHealthBlockage:0)} Health Blockage"
buffSprainedLeftArmDesc,"You have sprained your left arm. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.LeftArmHealthBlockage:0)} Health Blockage"
buffBrokenLeftArmDesc,"You have broken your left arm. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per min\n-6% Weapon Handling\n8% Slower Reloading\n-6% Attacks Per Minute\n{cvar(.BrokenLeftArmHealthBlockage:0)} Health Blockage"
buffLeftArmSplintedDesc,"Your left arm is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.LeftArmHealthBlockage:0)} Health Blockage"
buffLeftArmCastDesc,"Your left arm is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.LeftArmHealthBlockage:0)} Health Blockage"
buffSprainedRightArmDesc,"You have sprained your right arm. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.RightArmHealthBlockage:0)} Health Blockage"
buffBrokenRightArmDesc,"You have broken your right arm. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per min\n-6% Weapon Handling\n8% Slower Reloading\n-6% Attacks Per Minute\n{cvar(.BrokenRightArmHealthBlockage:0)} Health Blockage"
buffRightArmSplintedDesc,"Your right arm is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.RightArmHealthBlockage:0)} Health Blockage"
buffRightArmCastDesc,"Your right arm is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.RightArmHealthBlockage:0)} Health Blockage"
buffSprainedLeftWristDesc,"You have sprained your left wrist. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.LeftWristHealthBlockage:0)} Health Blockage"
buffBrokenLeftWristDesc,"You have broken your left wrist. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per min\n-6% Weapon Handling\n8% Slower Reloading\n-6% Attacks Per Minute\n{cvar(.BrokenLeftWristHealthBlockage:0)} Health Blockage"
buffLeftWristSplintedDesc,"Your left wrist is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.LeftWristHealthBlockage:0)} Health Blockage"
buffLeftWristCastDesc,"Your left wrist is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.LeftWristHealthBlockage:0)} Health Blockage"
buffSprainedRightWristDesc,"You have sprained your right wrist. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.RightWristHealthBlockage:0)} Health Blockage"
buffBrokenRightWristDesc,"You have broken your right wrist. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per min\n-6% Weapon Handling\n8% Slower Reloading\n-6% Attacks Per Minute\n{cvar(.BrokenRightWristHealthBlockage:0)} Health Blockage"
buffRightWristSplintedDesc,"Your right wrist is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.RightWristHealthBlockage:0)} Health Blockage"
buffRightWristCastDesc,"Your right wrist is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.RightWristHealthBlockage:0)} Health Blockage"
buffSprainedNeckDesc,"You have sprained your neck. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.NeckHealthBlockage:0)} Health Blockage"
buffBrokenNeckDesc,"You have broken your neck. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per min\n-6% Weapon Handling\n8% Slower Reloading\n-6% Attacks Per Minute\n{cvar(.BrokenNeckHealthBlockage:0)} Health Blockage"
buffNeckSplintedDesc,"Your neck is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.NeckHealthBlockage:0)} Health Blockage"
buffNeckCastDesc,"Your neck is in a cast and healing. Try not to hurt it while it’s healing\n\nEffects:\n-4% Weapon Handling\n5% Slower Reloading\n-4% Attacks Per Minute\n{cvar(.NeckHealthBlockage:0)} Health Blockage"

buffGashLeftFootDesc,"I recived a large gash on my left foot. I can use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.15 Wellness Per Min\n-3 Health Per Min\n-1.2 Stamina Per Min\n5% Slower Crafting"
buffDirtyGashLeftFootDesc,"The gash on your left foot is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashLeftFootDryingDesc,"The gash on your left foot is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashLeftFootNeedsBandageDesc,"The gash on your left foot is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashLeftFootTendedDesc,"The gash on your left foot is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashRightFootDesc,"You recived a large gash on your right foot. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashRightFootDesc,"The gash on your right foot is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashRightFootDryingDesc,"The gash on your right foot is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashRightFootNeedsBandageDesc,"The gash on your right foot is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashRightFootTendedDesc,"The gash on your right foot is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashLeftLegDesc,"You recived a large gash on your left leg. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashLeftLegDesc,"The gash on your left leg is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashLeftLegDryingDesc,"The gash on your left leg is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashLeftLegNeedsBandageDesc,"The gash on your left leg is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashLeftLegTendedDesc,"The gash on your left leg is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashRightLegDesc,"You recived a large gash on your right leg. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashRightLegDesc,"The gash on your right leg is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashRightLegDryingDesc,"The gash on your right leg is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashRightLegNeedsBandageDesc,"The gash on your right leg is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashRightLegTendedDesc,"The gash on your right leg is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashLeftArmDesc,"You recived a large gash on your left arm. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashLeftArmDesc,"The gash on your left arm is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashLeftArmDryingDesc,"The gash on your left arm is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashLeftArmNeedsBandageDesc,"The gash on your left arm is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashLeftArmTendedDesc,"The gash on your left arm is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashRightArmDesc,"You recived a large gash on your right arm. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashRightArmDesc,"The gash on your right arm is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashRightArmDryingDesc,"The gash on your right arm is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashRightArmNeedsBandageDesc,"The gash on your right arm is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashRightArmTendedDesc,"The gash on your right arm is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashLeftHandDesc,"You recived a large gash on your left hand. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashLeftHandDesc,"The gash on your left hand is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashLeftHandDryingDesc,"The gash on your left hand is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashLeftHandNeedsBandageDesc,"The gash on your left hand is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashLeftHandTendedDesc,"The gash on your left hand is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashRightHandDesc,"You recived a large gash on your right hand. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashRightHandDesc,"The gash on your right hand is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashRightHandDryingDesc,"The gash on your right hand is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashRightHandNeedsBandageDesc,"The gash on your right hand is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashRightHandTendedDesc,"The gash on your right hand is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashNeckDesc,"You recived a large gash on your neck. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashNeckDesc,"The gash on your neck is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashNeckDryingDesc,"The gash on your neck is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashNeckNeedsBandageDesc,"The gash on your neck is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashNeckTendedDesc,"The gash on your neck is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffGashStomachDesc,"You recived a large gash on your stomach. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffDirtyGashStomachDesc,"The gash on your stomach is dirty and needs to be cleansed using a [35bd00]Cleansing Wash[-]. If not treated it will lead to an [f21b10]Medical Infection[-]\n\nEffects:\n-.05 Stamina Per Second\n3% Slower Mobility\n5% Slower Crafting"
buffGashStomachDryingDesc,"The gash on your stomach is clean and drying off. Once it’s dry it will need bandaging\n\nEffects:\n-.02 Stamina Per Second\n2% Slower Mobility\n3% Slower Crafting"
buffGashStomachNeedsBandageDesc,"The gash on your stomach is dry and needs a [35bd00]First Aid Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.04 Stamina Per Second\n3% Slower Mobility\n4% Slower Crafting"
buffGashStomachTendedDesc,"The gash on your stomach is bandaged and healing. Try not to get hurt so it will heal.\n\nEffects:\n-.01 Stamina Per Second\n1% Slower Mobility\n2% Slower Crafting"

buffFireBurnLeftFootNeedsCleansedDesc,"You burnt your left foot. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftFootNeedsAloeDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftFootBandagedDesc,"The burn on your left foot is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftFootNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftFootNeedsAloeBDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftFootHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.01 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightFootNeedsCleansedDesc,"You burnt your right foot. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightFootNeedsAloeDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightFootBandagedDesc,"The burn on your right foot is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightFootNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightFootNeedsAloeBDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightFootHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.01 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftLegNeedsCleansedDesc,"You burnt your left leg. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftLegNeedsAloeDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftLegBandagedDesc,"The burn on your left leg is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftLegNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftLegNeedsAloeBDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftLegHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.01 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightLegNeedsCleansedDesc,"You burnt your right leg. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightLegNeedsAloeDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightLegBandagedDesc,"The burn on your right leg is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightLegNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightLegNeedsAloeBDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightLegHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftHandNeedsCleansedDesc,"You burnt your left hand. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftHandNeedsAloeDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftHandBandagedDesc,"The burn on your left hand is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftHandNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftHandNeedsAloeBDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftHandHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightHandNeedsCleansedDesc,"You burnt your right hand. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightHandNeedsAloeDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
